g217.Ospi	ABI2
g23.Otip	ABI1
g219.Pfla	ABI2
g38.Pfuc	ABI2
g50.Pfus	ABI2
g230.Pfus	ABI1
g498.Pfus	ABI3
g503.Pfus	ABI2
g58.Pgen	ABI2
g2.Pgen	ABI2
g156.Pgeo	ABI2
g14.Pger	ABI1
g80.Plin	ABI2
g46.Pmar	ABI1
g445.Pmar	ABI1
g120.Pmon	ABI2
g30.Pmur	ABI2
g199.Pmur	ABI1
g329.Pmur	ABI3
g66.Ppec	ABI1A
g296.Ppec	ABI1
g468.Ppec	ABI2
g66.Ppyg	ABI2
g228.Ppyg	ABI1
g347.Ppyg	ABI3
g58.Ptig	ABI2
g241.Ptig	ABI1
g316.Ptig	ABI3
g512.Ptig	ABI1
g8.Pver	ABI2
g18.Pvul	ABI2
g20.Rflo	ABI1
g93.Rpen	ABI1
g248.Rpen	ABI3
g519.Rpen	ABI2
g120.Rtyp	ABI2
g9.Rtyp	ABI1
g243.Rtyp	ABI1A
g43.Rven	ABI1
g175.Saca	ABI2
g15.Saca	ABI1
g257.Saca	ABI1A
g17.Sacu	ABI2
g83.Sara	ABI2
g198.Sara	ABI3
g398.Sara	ABI1
g67.Sben	ABI2
g15.Sbom	ABI2
g243.Sbom	Uncharacterized
g410.Sbom	ABI1
g50.Scar	ABI1
g266.Scum	ABI2
g55.Sdal	ABI2
g3.Sdal	ABI2
g40.Shar	ABI1
g135.Shar	ABI2
g259.Shar	ABI3
g55.Skow	ABI1
g328.Skow	ABI2
g122.Slac	ABI2
g260.Slim	ABI2
g8.Sman	ABI1
g5.Snit	ABI2
g89.Snud	ABI2
g393.Snud	ABI2
g129.Spli	ABI2
g55.Spur	ABI2
g450.Spur	ABI2
g842.Spur	ABI2
g51.Srat	ABI1
g40.Sscr	ABI1
g300.Sscr	ABI3
g306.Sscr	ABI3
g551.Sscr	ABI2
g109.Stho	ABI1
g21.Tacu	ABI3
g291.Tacu	ABI2
g484.Tacu	ABI1
g81.Tchi	ABI2
g148.Tchi	ABI3
g415.Tchi	ABI1
g507.Tchi	ABI1
g191.Tcli	ABI1
g4.Tcli	ABI2
g149.Tgut	ABI1
g322.Tgut	ABI2
g460.Tgut	Uncharacterized
g129.Tind	ABI3
g320.Tind	ABI2
g424.Tind	ABI1
g145.Tlap	ABI2
g194.Tmul	Uncharacterized
g59.Trho	ABI2
g278.Trho	ABI2
g42.Tsci	ABI1
g187.Tsci	Uncharacterized
g465.Tsci	ABI2
g89.Tswi	ABI1
g32.Ttru	ABI2
g252.Uuni	ABI2
g2.Xtro	ABI1
g374.Xtro	ABI3
g409.Xtro	ABI2
g34.Xxan	ABI2
